cage,trt,deadlbfirstweek,day,adult,nymph,total
1,C,2,0,0,0,0
1,A,2,0,2,22,24
1,AL,2,0,2,20,22
2,C,2,0,0,0,0
2,A,2,0,4,48,52
2,AL,2,0,5,55,60
3,C,1,0,0,0,0
3,A,1,0,3,26,29
3,AL,1,0,1,6,7
4,C,2,0,0,0,0
4,A,2,0,4,44,48
4,AL,2,0,2,27,29
5,C,2,0,0,0,0
5,A,2,0,4,33,37
5,AL,2,0,1,5,6
6,C,1,0,0,0,0
6,A,1,0,1,11,12
6,AL,1,0,6,71,77
7,C,0,0,0,0,0
7,A,0,0,3,45,48
7,AL,0,0,4,40,44
8,C,2,0,0,,0
8,A,2,0,3,44,47
8,AL,2,0,4,41,45
9,C,1,0,0,0,0
9,A,1,0,2,14,16
9,AL,1,0,2,29,31
10,C,2,0,0,0,0
10,A,2,0,4,39,43
10,AL,2,0,7,79,86
11,C,2,0,0,0,0
11,A,2,0,6,57,63
11,AL,2,0,8,79,87
12,C,1,0,0,0,0
12,A,1,0,4,46,50
12,AL,1,0,2,22,24
13,C,1,0,0,0,0
13,A,1,0,0,1,1
13,AL,1,0,6,111,117
14,C,2,0,0,0,0
14,A,2,0,4,57,61
14,AL,2,0,5,47,52
15,C,0,0,0,0,0
15,A,0,0,6,87,93
15,AL,0,0,3,40,43
1,C,2,7,0,0,0
1,A,2,7,7,60,67
1,AL,2,7,7,61,68
2,C,2,7,2,0,2
2,A,2,7,12,91,103
2,AL,2,7,26,180,206
3,C,1,7,0,0,0
3,A,1,7,11,87,98
3,AL,1,7,3,38,41
4,C,2,7,0,0,0
4,A,2,7,19,142,161
4,AL,2,7,19,137,156
5,C,2,7,0,0,0
5,A,2,7,13,134,147
5,AL,2,7,4,2,6
6,C,1,7,0,0,0
6,A,1,7,4,38,42
6,AL,1,7,25,253,278
7,C,0,7,1,4,5
7,A,0,7,26,233,259
7,AL,0,7,22,201,223
8,C,2,7,0,0,0
8,A,2,7,14,107,121
8,AL,2,7,8,231,239
9,C,1,7,0,0,0
9,A,1,7,6,47,53
9,AL,1,7,19,110,129
10,C,2,7,0,0,0
10,A,2,7,8,174,182
10,AL,2,7,21,181,202
11,C,2,7,0,0,0
11,A,2,7,45,326,371
11,AL,2,7,25,236,261
12,C,1,7,0,0,0
12,A,1,7,20,182,202
12,AL,1,7,14,156,170
13,C,1,7,0,0,0
13,A,1,7,0,0,0
13,AL,1,7,46,476,522
14,C,2,7,0,0,0
14,A,2,7,17,132,149
14,AL,2,7,15,181,196
15,C,0,7,0,0,0
15,A,0,7,17,164,181
15,AL,0,7,12,90,102
